Borough,Job Type,Job Status,Approved,Job #,Building Type,Pre- Filing Date,BUILDING_CLASS,Job Description,Date_Approved,Fully Paid,GIS_LATITUDE,GIS_LONGITUDE,Initial Cost
BRONX,A1,P,03/05/2024,220742855,OTHERS,01/31/2024,O2,"ALT 1 NO WORK FILED HEREWITH TO CHANGE USE FROM EXISTING OCCUPANCY M TO OCCUPANCY GROUP B, AND EXISTING USE GROUP 6A TO USE GROUP 4A. ALL WORK FOR INTERIOR RENOVATION FILED UNDER ALTERATION X00809711 IN DOB NOW BUILD.",2024-05-03,01/31/2024,40.827967,-73.876176,$100.00
BRONX,A1,P,04/12/2023,220748733,OTHERS,12/21/2022,E1,THIS IS A NO WORK APPLICATION TO REVISE ZONING AND TAX LOT FOR EXISTING ONE STORY BUILDING.,2023-12-04,12/21/2022,40.809891,-73.893044,$1000.00
BRONX,A1,P,05/02/2023,220739672,1-2-3 FAMILY,12/23/2021,B1,"NO WORK ALT1 APPLICATION TO ESTABLISH THE NEW MEETS AND BOUNDS FOR THE SUBDIVIDED LOT 13 INTO 13 &amp; 14.  LOT 13 WILL REMAIN WITH THE EXISTING 3 FAMILY DWELLING IN CONJUNCTION WITH SUBDIVISION #220691491.  NO CHANGE TO USE, EGRESS OR OCCUPANCY.",2023-02-05,12/23/2021,40.839668,-73.889808,$1000.00
BRONX,A1,R,03/04/2024,220744121,OTHERS,01/17/2024,R0,PROPOSED CHANGE OF USE FROM OFFICE/MEETING ROOM TO DAY CARE FACILITY AT FIRST FLOOR -THIS IS A 'NO  WORK APPLICATION' AS PER SUBMITTEDPLANS.,2024-04-03,01/17/2024,40.8062,-73.925979,$1000.00
BRONX,A1,R,03/07/2023,220749395,OTHERS,12/29/2022,S2,NO WORK ALT 1 APPLICATION FILED TO CHANGE FIRST FLOOR USE TO GROCERY STORE (USE GROUP 6A). FILED IN CONJUNCTION WITH ALL WORK PERFORMED UNDER MINOR ALTERATION APPLICATION.,2023-07-03,12/29/2022,40.845463,-73.865019,$1000.00
BRONX,A1,R,04/06/2023,220705468,OTHERS,03/17/2020,G2,"PROPOSED CHANGE FROM PLUMBING SHOP (USE GROUP 16) OLD CODE COMMERCIAL OCCUPANCY TO AUTO BODY AND COLLISION REPAIR SHOP USE GROUP 17, OLD CODE COMMERCIAL OCCUPANCY GROUP - OCCUPANCY GROUP F-1 (2008 CODE. EXISTING LAVATORY AND INTERIOR PARTITIONS TO REMAIN. APPLICATION TO INCLUDE THE INSTALLATION OF PREFABRICATED PAINT BOOTH.",2023-06-04,03/17/2020,40.83952,-73.920499,$35000.00
BRONX,A1,R,05/07/2024,220744185,OTHERS,02/14/2024,F9,NO WORK APPLICATION FILED TO ESTABLISH CERTIFICATE OF OCCUPANCY FOR EXISTING CONCRETE BATCHING PLANT (USE GROUP 17A).,2024-07-05,02/15/2024,40.867417,-73.909536,$1000.00
BRONX,A1,R,06/01/2023,220745460,OTHERS,03/01/2022,S2,"AS PER OPERATIONS POLICY AND PROCEDURE NOTICE #4/2000, APPLICATION HEREWITH FILED FOR ADMINISTRATIVE NO WORK PERMIT TO SIGN OFF PRE-BIS JOB ALT 314/87 THAT WAS FILED, APPROVED, PERMITTED AND FOR WHICH ALL WORK WAS COMPLETED AND TEN TCO'S ISSUED. NEW PLANS HERWITHFILED TO SHOW AS BUILT CONDITIONS. ADDITIONAL WORK IF ANY, SHALL BE FILED SEPARATELY.",2023-01-06,03/01/2022,40.825111,-73.82057,$100.00
BRONX,A1,R,07/08/2024,220740615,1-2-3 FAMILY,08/31/2021,B2,APPLICATION FILED TO SECURE A CERTIFICATE FOR EXISTING TWO FAMILY DWELLING AS INDICATED ON PLANS SUBMITTED HEREWITH. NEW CERTIFICATE OF OCCUPANCY REQUIRED.,2024-08-07,08/31/2021,40.886408,-73.833392,$1000.00
BRONX,A1,R,08/01/2023,220742301,OTHERS,07/10/2023,D7,NO WORK APPLICATION FILED TO AMEND EXISTING CO ESTABLISHED  UNDER NB #220462407. AS PER HPD REQUEST THE ADDITIONAL LANGUAGE  'NONPROFIT RESIDENCES FOR THE ELDERLY (NPRFTE)' IS BEING ADDED  TO THE CO.,2023-01-08,07/10/2023,40.811201,-73.92684,$1000.00
BRONX,A1,R,09/11/2023,220742604,OTHERS,08/30/2023,D1,"FILING 'NO WORK' ALTERATION TYPE I TO CORRECT LOT NUMBER ON EXISTING C OF O #55023, NB JOB NO 130-82",2023-11-09,08/30/2023,40.822812,-73.901821,$1000.00
BRONX,A1,R,09/11/2023,220742613,OTHERS,08/31/2023,C9,"FILING 'NO WORK' ALTERATION TYPE I TO CORRECT LOT NUMBER ON EXISTING C OF O #56487, NB JOB NO 262-84",2023-11-09,08/31/2023,40.818893,-73.898911,$1000.00
BRONX,A1,R,09/11/2023,220742622,OTHERS,08/31/2023,C9,FILING 'NO WORK' ALTERATION TYPE I TO CORRECT LOT NUMBER ON EXISTING C OF O #56433 NB JOB NO 264-84,2023-11-09,08/31/2023,40.818902,-73.899894,$1000.00
BRONX,A1,R,09/11/2023,220742631,OTHERS,08/31/2023,D1,"FILING 'NO WORK' ALTERATION TYPE I TO CORRECT LOT NUMBER ON EXISTING C OF O #58616, NB JOB NO. 91-84.",2023-11-09,08/31/2023,40.832396,-73.901413,$1000.00
BRONX,A1,R,09/11/2023,220742659,OTHERS,08/31/2023,C9,"FILING 'NO WORK' ALTERATION TYPE I TO CORRECT LOT NUMBER ON EXISTING C OF O #57527, NB JOB NO. 11-85",2023-11-09,08/31/2023,40.826773,-73.898679,$1000.00
BRONX,A1,X,02/07/2023,220671985,OTHERS,10/09/2018,G3,PROPOSED 308 SF BUILDING EXPANSION OF AN EXISTING BUILDING FOR A TOTAL NET FLOOR AREA OF 1572 SF FOR CONTINUED USE AS A CONVENIENCE STORE WITH ASSOCIATED SITE WORK.,2023-07-02,10/09/2018,40.814435,-73.858839,$300000.00
BRONX,A2,P,01/05/2023,240338354,OTHERS,10/24/2022,D6,RESPECTFULLY REQUESTING TO FILE TPP IN CONUNCTION WITH NEW BUILDING JOB #220151948,2023-05-01,10/24/2022,40.807149,-73.929969,$1000.00
BRONX,A2,P,02/01/2023,240333288,1-2-3 FAMILY,07/27/2022,B3,"INSTALLATION OF SOLAR PANELS ON EXISTING ROOF. NO CHANGE IN USE, OCCUPANCY,  OR EGRESS. NO CHANGE IN BULK.",2023-01-02,07/27/2022,40.860745,-73.902994,$51553.00
BRONX,A2,P,02/08/2023,240342072,OTHERS,01/11/2023,W1,SCOPE OF WORK IS FOR THE SOLEY INSTALLATION OF THE SOLAR ELECTRONIC GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.,2023-08-02,01/11/2023,40.819258,-73.908553,$796800.00
BRONX,A2,P,02/08/2023,240342973,OTHERS,02/01/2023,W1,SCOPE OF WORK IS FOR THE SOLEY INSTALLATION OF THE SOLAR ELECTRONIC GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.,2023-08-02,02/01/2023,40.821515,-73.917279,$761940.00
BRONX,A2,P,02/08/2023,240342982,OTHERS,02/01/2023,W1,SCOPE OF WORK IS FOR THE SOLEY INSTALLATION OF THE SOLAR ELECTRONIC GENERATING SYSTEM. ALL OTHER WORK IS NOT TO BE RELIED UPON AS BEING APPROVED AND/OR PERMITTED BY THE NYC DEPARTMENT OF BUILDINGS.,2023-08-02,02/01/2023,40.837931,-73.853524,$1080660.00
